jurisdiction,similarity,class_a,label_a,definition_a,class_b,label_b,definition_b,parent,recommendation,approve_merge
gro-ca,0.8687,gro-ca:PartTimeLoan,Part-Time Loan,A financial resource representing a loan issued to a student enrolled in part-time studies.,gro-ca:PartTimeStudentFinancialAssistanceApplication,Part-Time Student Financial Assistance Application,"An application submitted by a student for part-time financial assistance, including loans and grants.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8685,gro-ca:APSDProgramFunding,APSD Program Funding,Funding provided under the Accessibility Program for Students with Disabilities (APSD) for assistive services and equipment.,gro-ca:ASFProgramFunding,ASF Program Funding,"Funding allocated under the Accessibility Supports Framework (ASF) programs, including grants for students with disabilities.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8682,gro-ca:CanadaStudentFinancialAssistanceProgram,Canada Student Financial Assistance Program,The federal program under the Canada Student Financial Assistance Act and Regulations that provides loans and grants to eligible students.,gro-ca:CanadaStudentLoanFunding,Canada Student Loan Funding,Funding provided under the Canada Student Loan program.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8646,gro-ca:LoanFunding,Loan Funding,Financial resources provided as a loan to a student.,gro-ca:PartTimeLoanOrGrantFunding,Part-Time Loan or Grant Funding,Financial resources provided as part-time loans or grants to eligible students.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8646,gro-ca:AssessmentCostReimbursement,Assessment Cost Reimbursement,Reimbursement for costs associated with an assessment.,gro-ca:DisabilityAssessmentReimbursement,Disability Assessment Reimbursement,A reimbursement issued for disability assessment costs.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8629,gro-ca:CanadaStudentGrantPartTimeDependants,Canada Student Grant for Part-Time Students with Dependants,A financial grant available to part-time students in Canada who have dependants.,gro-ca:PartTimeCanadaStudentLoan,Part-time Canada Student Loan,A loan available to part-time students in Canada to support their studies.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8624,gro-ca:CanadaBCIntegratedStudentLoanAndGrantFunding,Canada-B.C. Integrated Student Loan and Grant Funding,"The amount of Canada-B.C. integrated student loan and grant funding that students are eligible to receive, based on their assessed financial need.",gro-ca:CombinedStudentFundingMaximum,Combined Student Funding Maximum,"The total combined maximum amount for Canada Student Loan, B.C. Student Loan and Canada Student Grant funding.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8622,gro-ca:ASFProgramFunding,ASF Program Funding,"Funding allocated under the Accessibility Supports Framework (ASF) programs, including grants for students with disabilities.",gro-ca:AccessibilitySupportsFunding,Accessibility Supports Funding,"Funding allocated under the Accessibility Supports Framework, including bursaries, assistive technology, and accessibility services for students and institutions based on need.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8603,gro-ca:PartTimeStudentFunding,Part-Time Student Funding,Financial assistance funding available to part-time students under the Canada Student Financial Assistance Program.,gro-ca:PartTimeStudentLoanApplication,Part-Time Student Loan Application,"A completed application form for part-time student loans and/or in-study payment-free status, submitted to the Canada Student Financial Assistance Program.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8593,gro-ca:BCPrivatePostSecondaryInstitution,B.C. Private Post-Secondary Institution,"A private post-secondary institution operating in British Columbia, Canada.",gro-ca:PrivatePostSecondaryInstitution,Private Post-Secondary Institution,An in-province private post-secondary institution or in-province private academic post-secondary institution in Canada.,cco:Organisation,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8585,gro-ca:FundingType,Funding Type,A category of financial assistance for which a student may be eligible.,gro-ca:Funding,Funding,Financial resources allocated to support a student's educational expenses.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.857,gro-ca:ReimbursementAssessmentCosts,Reimbursement of Assessment Costs,Reimbursement of assessment costs associated with each disability for applicants verified for multiple disabilities.,gro-ca:AssessmentCostReimbursement,Assessment Cost Reimbursement,Reimbursement for costs associated with an assessment.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8559,gro-ca:Designation,Designation,"A designation granted by StudentAid BC to institutions, effective for a single program year.",gro-ca:StudentAidBCDesignation,StudentAid BC Designation,The designation status granted to institutions under the StudentAid BC program.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8558,gro-ca:CanadaStudentFinancialAssistanceProgram,Canada Student Financial Assistance Program,The federal program under the Canada Student Financial Assistance Act and Regulations that provides loans and grants to eligible students.,gro-ca:CanadaStudentGrantFunding,Canada Student Grant Funding,"Funding provided under the Canada Student Grant program, allocated towards federal and provincial assessed need.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8552,gro-ca:LoanFunding,Loan Funding,Financial resources provided as a loan to a student.,gro-ca:Loan,Loan,Financial assistance provided to a student that must be repaid.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8536,gro-ca:CanadaStudentGrantFullTime,Canada Student Grant for Full-Time Students,A funding resource providing up to $525 per month of study for full-time students under the Canada Student Grant program.,gro-ca:CanadaStudentGrantPartTimeStudies,Canada Student Grant for Part-Time Studies,A financial grant available to part-time students in Canada to support their studies.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8535,gro-ca:FinancialAssistance,Financial Assistance,"Financial assistance determined through the StudentAid BC application process, considering allowable costs and resources.",gro-ca:StudentFinancialAssistance,Student Financial Assistance,"Financial assistance available to students, limited by minimum and maximum interest free loan award amounts set by the Canada Student Financial Assistance Program and StudentAid BC, and based on federal and provincial need assessments and eligibility for non-repayable grants and bursaries.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8529,gro-ca:DisabilityStudentFunding,Disability Student Funding,"Funding designed to help people with disabilities and their dependents with basic educational costs, subject to limitations established under inter-ministry policy.",gro-ca:StudentDisabilityFunding,Student Disability Funding,"Financial resources allocated to students with disabilities, including grants, bursaries, loan repayment reductions, and loan forgiveness.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8529,gro-ca:PartTimeStudentFinancialAssistanceApplication,Part-Time Student Financial Assistance Application,"An application submitted by a student for part-time financial assistance, including loans and grants.",gro-ca:PartTimeStudentLoanApplication,Part-Time Student Loan Application,"A completed application form for part-time student loans and/or in-study payment-free status, submitted to the Canada Student Financial Assistance Program.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8519,gro-ca:LoanFunding,Loan Funding,Financial resources provided as a loan to a student.,gro-ca:PartTimeLoan,Part-Time Loan,A financial resource representing a loan issued to a student enrolled in part-time studies.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8509,gro-ca:CanadaStudentLoan,Canada Student Loan,A loan provided under the Canada Student Loans Program.,gro-ca:CanadaStudentLoansProgramPartTime,Canada Student Loans Program for Part-Time Students,"The Canada Student Loans Program for Part-Time Students, a financial aid program for part-time post-secondary students in Canada.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8507,gro-ca:StudentFinancialAssistance,Student Financial Assistance,"Financial assistance available to students, limited by minimum and maximum interest free loan award amounts set by the Canada Student Financial Assistance Program and StudentAid BC, and based on federal and provincial need assessments and eligibility for non-repayable grants and bursaries.",gro-ca:StudentAidBCFinancialAssistance,StudentAid BC Financial Assistance,Financial assistance provided under the StudentAid BC program.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8504,gro-ca:PartTimeLoanOrGrantFunding,Part-Time Loan or Grant Funding,Financial resources provided as part-time loans or grants to eligible students.,gro-ca:PartTimeStudentFinancialAssistanceApplication,Part-Time Student Financial Assistance Application,"An application submitted by a student for part-time financial assistance, including loans and grants.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.9565,gro-uk:ApprenticeshipPriceDifference,Apprenticeship Price Difference,The monetary difference between the total negotiated price of an apprenticeship and the funding band maximum for the standard.,gro-uk:PriceDifference,Price Difference,The difference between the funding band maximum and the total negotiated price for an apprenticeship.,cco:Resource,STRONG MERGE (high confidence),YES
gro-uk,0.9286,gro-uk:PracticalPeriodStartDate,Practical Period Start Date,The practical period start date aligns with the learning start date in the ILR.,gro-uk:PracticalPeriodEndDate,Practical Period End Date,The practical period end date aligns with the planned learning end date in the ILR.,cco:Resource,STRONG MERGE (high confidence),YES
gro-uk,0.9275,gro-uk:ApprenticeWageRate,Apprentice Wage Rate,The apprentice rate of the national minimum wage as specified in UK regulations.,gro-uk:ApprenticeRate,Apprentice Rate,The apprentice rate of pay as referenced in UK apprenticeship regulations.,cco:Resource,STRONG MERGE (high confidence),YES
gro-uk,0.9263,gro-uk:MainProviderOrEmployerRole,Main Provider or Employer Role,The role of the main provider or the employer if they have chosen to undertake this role in the context of an apprenticeship.,gro-uk:EmployerOrProviderRole,Employer or Provider Role,The role of an employer or provider in the context of the apprenticeship service.,cco:Role,STRONG MERGE (high confidence),YES
gro-uk,0.9255,gro-uk:SubcontractorServiceList,Subcontractor Service List,A list of the services a provider will provide when subcontracting and how they will determine the associated costs.,gro-uk:ServiceList,Service List,A list of all services the provider's organisation will provide to the subcontractor and the associated costs for doing so.,cco:Resource,STRONG MERGE (high confidence),YES
gro-uk,0.9225,gro-uk:EmployerCoInvestment,Employer Co-Investment,A funding allocation representing the employer's co-investment contribution for apprenticeships.,gro-uk:EmployerCoInvestmentContribution,Employer Co-investment Contribution,"A financial contribution from an employer towards the cost of an apprenticeship, as part of government-employer co-investment",cco:Resource,STRONG MERGE (high confidence),YES
gro-uk,0.92,gro-uk:ApprenticeshipPrice,Apprenticeship Price,"The price agreed or costs claimed for an apprenticeship, including negotiated assessment costs.",gro-uk:ApprenticeshipAssessmentPrice,Apprenticeship Assessment Price,The price that has been agreed for apprenticeship assessment.,cco:Resource,STRONG MERGE (high confidence),YES
gro-uk,0.9137,gro-uk:EndPointAssessmentOrganisation,End-Point Assessment Organisation,An independent organisation that providers can contract to carry out apprenticeship end-point assessments.,gro-uk:EPAO,End-Point Assessment Organisation,End-Point Assessment Organisation responsible for conducting end-point assessment and certification of apprentices,cco:Organisation,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.913,gro-uk:GovernmentEmployerCoInvestment,Government-Employer Co-Investment,A funding arrangement where the government and employer jointly contribute to apprenticeship costs.,gro-uk:EmployerCoInvestmentContribution,Employer Co-investment Contribution,"A financial contribution from an employer towards the cost of an apprenticeship, as part of government-employer co-investment",cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.9126,gro-uk:ILR,Individualised Learner Record,The Individualised Learner Record (ILR) is a data collection system used by UK education providers to report learner data.,gro-uk:ILRRecord,ILR Record,"The Individualised Learner Record, a data collection system for further education and work-based learning in the UK.",cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.9087,gro-uk:AgreedPrice,Agreed Price,The agreed price that is entered into the ILR and the apprenticeship service,gro-uk:ILRAndApprenticeshipService,ILR and Apprenticeship Service,The ILR and the apprenticeship service systems where the agreed price is entered,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.9071,gro-uk:ApprenticeshipAssessmentProcess,Apprenticeship Assessment Process,The process by which an apprentice is assessed as part of their apprenticeship programme.,gro-uk:ApprenticeshipAssessment,Apprenticeship Assessment,"The assessment process for an apprenticeship, particularly for an integrated degree standard.",cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.9035,gro-uk:Provider,Provider,An organisation that delivers apprenticeship training and receives funding from an employer's apprenticeship service account or government-employer co-investment.,gro-uk:TrainingProvider,Training Provider,An organisation that provides training for apprenticeships.,cco:Role,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.903,gro-uk:GovernmentEmployerCoInvestment,Government-Employer Co-Investment,A funding arrangement where the government and employer jointly contribute to apprenticeship costs.,gro-uk:EmployerCoInvestment,Employer Co-Investment,A funding allocation representing the employer's co-investment contribution for apprenticeships.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.9013,gro-uk:ApprenticeshipFundingPayment,Apprenticeship Funding Payment,"A 50% payment of apprenticeship funding allocated 90 days after the apprentice's learning start date, conditional on the apprentice still undertaking their apprenticeship.",gro-uk:ApprenticeshipRemainingPayment,Apprenticeship Remaining Payment,"A funding resource representing the remaining 50% of an apprenticeship payment, allocated 365 days after the apprentice's learning start date, conditional on the apprentice still undertaking their apprenticeship.",cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.9008,gro-uk:ProviderOrEmployer,Provider or Employer,"An organisation that is either a training provider or an employer, as referenced in the regulatory provision.",gro-uk:ProviderEmployer,Provider and Employer,An organisation that acts as both a provider and an employer in the context of regulated agreements.,cco:Organisation,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.8983,gro-uk:MainProviderOrEmployerRole,Main Provider or Employer Role,The role of the main provider or the employer if they have chosen to undertake this role in the context of an apprenticeship.,gro-uk:MainProviderRole,Main Provider Role,"The role of the main provider responsible for ensuring apprentice preparation and understanding of the apprenticeship assessment process, in consultation with the employer.",cco:Role,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.897,gro-uk:ApprenticeRole,Apprentice Role,The role of an individual who is learning a trade or profession under an apprenticeship agreement.,gro-uk:EmployerRole,Employer Role,The role of an individual or entity that employs an apprentice under an apprenticeship agreement.,cco:Role,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.8966,gro-uk:ApprenticeshipPayment,Apprenticeship Payment,"A payment generated for an apprentice under specific apprenticeship conditions, such as shorter or foundation apprenticeships.",gro-uk:Payment,Payment,A financial payment made in the context of apprenticeship funding.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.8954,gro-uk:EvidenceOfPayment,Evidence of Payment,"Documentation proving that a payment has been made, such as a transaction record or confirmation.",gro-uk:ConfirmationOfPayment,Confirmation of Payment,A statement or document confirming that a payment has been sent or received.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.8953,gro-uk:EndPointAssessment,End-Point Assessment,An end-point assessment for an apprenticeship.,gro-uk:EndPointAssessmentOrganisationDetails,End-Point Assessment Organisation Details,Details of the end-point assessment organisation for an apprenticeship,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.8933,gro-uk:CareLeaversBursary,Care Leavers' Bursary,"Care leavers’ bursary is an additional £3,000 payment (paid in 3 instalments) that we pay to apprentices who are in care or are care leavers, and who started their apprenticeship training on or after 1",gro-uk:CareLeaversBursaryPayment,Care Leavers Bursary Payment,"A final bursary payment for care leavers, confirmed for apprenticeship standards with a published typical duration of less than 12 months and for foundation apprenticeships.",cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.8933,gro-uk:EligibleTrainingCosts,Eligible Training Costs,"The eligible costs of training, on-programme or end-point assessment, for which an apprentice must not be asked to contribute financially.",gro-uk:EligibleCosts,Eligible Costs,The eligible costs of an apprenticeship that an apprentice should not be asked to financially contribute to.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.8907,gro-uk:EmployerRole,Employer Role,The role of an individual or entity that employs an apprentice under an apprenticeship agreement.,gro-uk:EmployerOrProviderRole,Employer or Provider Role,The role of an employer or provider in the context of the apprenticeship service.,cco:Role,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.8886,gro-uk:ApprenticeshipServiceAccount,Apprenticeship Service Account,"The area on the apprenticeship service where employers can manage their funding and apprentices, view their account balance and plan their spending.",gro-uk:EmployerApprenticeshipServiceAccount,Employer Apprenticeship Service Account,"The employer's apprenticeship service account, a digital resource for managing apprenticeships.",cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.8878,gro-uk:ApprenticeshipProvider,Apprenticeship Provider,An organisation that provides apprenticeship training and support.,gro-uk:HigherEducationTrainingProvider,Higher Education Training Provider,An organisation that provides higher education training as part of an apprenticeship programme.,cco:Organisation,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.8874,gro-uk:GovernmentEmployerCoInvestment,Government-Employer Co-Investment,A funding arrangement where the government and employer jointly contribute to apprenticeship costs.,gro-uk:GovernmentCoInvestment,Government Co-Investment,"A funding allocation representing the government's co-investment contribution for apprenticeships, up to the funding band maximum.",cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.886,gro-uk:ApprenticeshipCosts,Apprenticeship Training Costs,Actual costs of delivery of apprenticeship training and on-programme assessment,gro-uk:ActualCosts,Actual Costs,The actual costs incurred for delivery of apprenticeship services.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.8849,gro-uk:ProviderEmployer,Provider and Employer,An organisation that acts as both a provider and an employer in the context of regulated agreements.,gro-uk:EmployerProviderOrganisation,Employer-Provider Organisation,An organisation that acts as both employer and training provider for apprentices.,cco:Organisation,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.8848,gro-uk:ProviderRole,Provider Role,The role of an organization responsible for delivering apprenticeship training.,gro-uk:EmployerOrProviderRole,Employer or Provider Role,The role of an employer or provider in the context of the apprenticeship service.,cco:Role,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.8833,gro-uk:ProviderOrEmployer,Provider or Employer,"An organisation that is either a training provider or an employer, as referenced in the regulatory provision.",gro-uk:EmployerProviderOrganisation,Employer-Provider Organisation,An organisation that acts as both employer and training provider for apprentices.,cco:Organisation,LIKELY MERGE (review labels/definitions),YES
gro-uk,0.8793,gro-uk:EmploymentEvidence,Employment Evidence,"Evidence to confirm that the apprentice is employed by that employer, or a connected company or charity and this employment covers the full period of the apprenticeship, including the end-point assessment.",gro-uk:EvidenceOfEmploymentAndContractDuration,Evidence of Employment and Contract Duration,"Documentation demonstrating that an apprentice is employed under a contract of sufficient length to complete the apprenticeship, including the end-point assessment.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8791,gro-uk:ProviderRole,Provider Role,The role of an organization responsible for delivering apprenticeship training.,gro-uk:TrainingProvider,Training Provider,An organisation that provides training for apprenticeships.,cco:Role,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.876,gro-uk:EmployerCoInvestment,Employer Co-Investment,A funding allocation representing the employer's co-investment contribution for apprenticeships.,gro-uk:GovernmentCoInvestment,Government Co-Investment,"A funding allocation representing the government's co-investment contribution for apprenticeships, up to the funding band maximum.",cco:Resource,REVIEW CAREFULLY (low confidence),NO
gro-uk,0.8751,gro-uk:ApprenticeshipTrainingAssessment,Apprenticeship Training and Assessment,The apprenticeship training and/or on-programme assessment associated with an employer's apprenticeship programme.,gro-uk:TrainingAndAssessment,Training and Assessment,The training and assessment activities delivered across an apprenticeship.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.874,gro-uk:EndPointAssessmentProcess,End-Point Assessment Process,The end-point assessment process that apprentices must be prepared for and understand.,gro-uk:EndPointAssessment,End-Point Assessment,An end-point assessment for an apprenticeship.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8722,gro-uk:TransferredFunds,Transferred Funds,Funds transferred for apprenticeship training and assessment payments.,gro-uk:TransferFunds,Transfer Funds,Funds transferred between employers for apprenticeship purposes.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8717,gro-uk:LevySendingEmployer,Levy Sending Employer,An employer that pays the apprenticeship levy and agrees to fund an apprenticeship through a transfer of levy funds.,gro-uk:ReceivingEmployer,Receiving Employer,Employers (levy or non-levy paying) who receive a transfer of apprenticeship funds from a levy-paying employer.,cco:Organisation,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8713,gro-uk:EndPointAssessmentOrganisationRole,End-Point Assessment Organisation Role,The role of an organisation responsible for conducting end-point assessments for apprenticeship standards.,gro-uk:ApprenticeshipAssessmentOrganisation,Apprenticeship Assessment Organisation,The role of an organisation that acts as the assessment organisation for an apprenticeship.,cco:Role,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8712,gro-uk:TotalPrice,Total Price,"The total price for an apprenticeship, subject to reduction based on prior learning percentage and funding band maximum.",gro-uk:ApprenticeshipFinalPrice,Apprenticeship Final Price,"The final price of the apprenticeship, representing the total cost before any further employer discount is applied.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8704,gro-uk:EmployerOrProviderRole,Employer or Provider Role,The role of an employer or provider in the context of the apprenticeship service.,gro-uk:EmployerProviderRole,Employer-Provider Role,The role of a subcontractor acting as an employer-provider for apprenticeship training,cco:Role,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8693,gro-uk:AwardingBody,Awarding Body,"Organisation that awards qualifications, including mandatory qualifications in apprenticeships.",gro-uk:AwardingOrganisation,Awarding Organisation,An organisation authorised to issue qualifications and certificates.,cco:Organisation,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.865,gro-uk:ProviderEmployeeOrAgentRole,Provider Employee or Agent Role,The role of an individual who is employed by or acting on behalf of the provider.,gro-uk:EmployerOrProviderRole,Employer or Provider Role,The role of an employer or provider in the context of the apprenticeship service.,cco:Role,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8637,gro-uk:TransferOfLevyFunds,Transfer of Levy Funds,The transfer of apprenticeship levy funds from one employer to another to support an apprentice's continued training.,gro-uk:TransferFundedApprenticeship,Transfer Funded Apprenticeship,"An apprenticeship funded through a levy transfer, encompassing its quality and employment aspects.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8616,gro-uk:Training,Training,A resource representing the necessary amount of training needed in readiness for assessments.,gro-uk:TrainingResource,Training Resource,A resource representing training activities or programmes.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8611,gro-uk:Funding,Funding,Financial resources claimed by a provider for an apprentice meeting specific criteria.,gro-uk:FundingResource,Funding Resource,"Financial resources allocated to support training or education, such as apprenticeship funding.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8604,gro-uk:ApprenticeshipTrainingAssessment,Apprenticeship Training and Assessment,The apprenticeship training and/or on-programme assessment associated with an employer's apprenticeship programme.,gro-uk:ApprenticeshipAssessmentProcess,Apprenticeship Assessment Process,The process by which an apprentice is assessed as part of their apprenticeship programme.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8599,gro-uk:ApprenticeshipProvider,Apprenticeship Provider,An organisation that provides apprenticeship training and support.,gro-uk:EmployerProviderOrganisation,Employer-Provider Organisation,An organisation that acts as both employer and training provider for apprentices.,cco:Organisation,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8578,gro-uk:ProgressReviewDiscussion,Progress Review Discussion,"A discussion held as part of a progress review, typically involving the apprentice and employer.",gro-uk:ProgressReview,Progress Review,An action to discuss the progress to date of the apprentice against their training plan,cco:Action,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8565,gro-uk:OffTheJobTrainingHours,Off-the-Job Training Hours,"The calculated entity representing the planned and delivered off-the-job training hours for an apprenticeship programme, including adjustments for prior learning.",gro-uk:PlannedOffTheJobTrainingHours,Planned Off-the-Job Training Hours,The number of planned off-the-job training hours for the full apprenticeship.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8558,gro-uk:ProviderRole,Provider Role,The role of an organization responsible for delivering apprenticeship training.,gro-uk:EmployerProviderRole,Employer-Provider Role,The role of a subcontractor acting as an employer-provider for apprenticeship training,cco:Role,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8552,gro-uk:EmployerRole,Employer Role,The role of an individual or entity that employs an apprentice under an apprenticeship agreement.,gro-uk:ReceivingEmployerRole,Receiving Employer Role,The role of an employer who receives an apprentice and is obligated to pay co-investment under certain conditions.,cco:Role,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8549,gro-uk:AssessmentOutcome,Assessment Outcome,The outcome of an assessment used to determine the starting level for an apprentice.,gro-uk:StartingLevel,Starting Level,The level an apprentice must start working towards as determined by the assessment outcome.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8528,gro-uk:SubcontractorFunding,Subcontractor Funding,The amount of funding that the main provider will pay each subcontractor for their apprenticeship training and/or on-programme assessment contribution.,gro-uk:Subcontract,Subcontract,A written agreement between a provider and a subcontractor for the delivery of apprenticeship training and on-programme assessment.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8526,gro-uk:FundingAuthority,Funding Authority,The government body that provides apprenticeship funding.,gro-uk:EducationAndSkillsFundingAgency,Education and Skills Funding Agency,The regulatory authority responsible for apprenticeship funding rules in the UK.,cco:RegulatoryAuthorityAgent,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8523,gro-uk:ApprenticeshipFundingPayment,Apprenticeship Funding Payment,"A 50% payment of apprenticeship funding allocated 90 days after the apprentice's learning start date, conditional on the apprentice still undertaking their apprenticeship.",gro-uk:FoundationApprenticeshipFunding,Foundation Apprenticeship Funding,"A funding allocation of £667 paid 90 days after the apprentice's learning start date, conditional on the apprentice still undertaking their foundation apprenticeship.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8516,gro-uk:ApprenticeshipTrainingFunding,Apprenticeship Training Funding,Funding allocated for apprenticeship training and/or on-programme assessment directly delivered by the main provider.,gro-uk:SubcontractorFunding,Subcontractor Funding,The amount of funding that the main provider will pay each subcontractor for their apprenticeship training and/or on-programme assessment contribution.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8505,gro-uk:LearningSupport,Learning Support,"Financial support that providers can claim to help with the cost of any reasonable adjustments directly related to an apprenticeship, currently a fixed monthly amount of £150.",gro-uk:ExceptionalLearningSupport,Exceptional Learning Support,"Financial support for apprentices requiring substantial reasonable adjustments exceeding £19,000 in a funding year.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-uk,0.8503,gro-uk:ApprenticeshipDuration,Apprenticeship Duration,"The total time period of an apprenticeship, used as a resource for calculating the 50% threshold.",gro-uk:Duration,Duration,The length of time set for an apprenticeship programme.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-us,0.985,gro-us:FAFSAApplication,FAFSA Application,The Free Application for Federal Student Aid form used to determine eligibility for student financial aid in the United States.,gro-us:FAFSAForm,FAFSA Form,The Free Application for Federal Student Aid form used to determine eligibility for student financial aid.,cco:Resource,STRONG MERGE (high confidence),YES
gro-us,0.9609,gro-us:FAFSAFormInformation,FAFSA Form Information,Information contained in or related to the Free Application for Federal Student Aid (FAFSA) form.,gro-us:FAFSAInformation,FAFSA Information,Information submitted via the Free Application for Federal Student Aid (FAFSA) form.,cco:Resource,STRONG MERGE (high confidence),YES
gro-us,0.9351,gro-us:StudentTotalIncome,Student Total Income,"The total income of a student, which is decreased by the sum of income offsets and reduced by the sum of income allowances as specified in the calculation rule.",gro-us:TotalIncome,Total Income,"The student's (and spouse's) total income, which is decreased by the sum of specified offsets and allowances.",cco:Resource,STRONG MERGE (high confidence),YES
gro-us,0.9127,gro-us:StudentAvailableIncome,Student Available Income,"The student's available income, calculated by subtracting certain allowances from the student's total income.",gro-us:AvailableIncome,Available Income,"The student's (and spouse's) available income, calculated by subtracting certain allowances from total income. It represents income available for discretionary purposes, including postsecondary education costs.",cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-us,0.8915,gro-us:Documentation,Documentation,"Documentation that may include various items such as interviews, court orders, or official documentation.",gro-us:DocumentationItem,Documentation Item,"An item that may be included in documentation, such as an interview record, court order, or official documentation.",cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-us,0.8806,gro-us:FAFSAForm,FAFSA Form,The Free Application for Federal Student Aid form used to determine eligibility for student financial aid.,gro-us:FAFSAFormInformation,FAFSA Form Information,Information contained in or related to the Free Application for Federal Student Aid (FAFSA) form.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
